category,n,iters,ms_per_iter_cpu,ms_per_iter_gpu,speedup
easy,3840,5,2.277,0.179,12.75x
easy,7680,7,2.688,0.198,13.59x
easy,15360,11,16.959,0.257,65.95x
easy,30720,18,6.061,0.321,18.88x
easy,61440,23,13.659,0.535,25.55x
easy,122880,32,23.374,0.982,23.81x
easy,245760,29,24.693,2.934,8.42x
easy,491520,43,49.926,4.419,11.30x
easy,983040,44,93.587,6.660,14.05x
easy,1966080,51,151.596,13.514,11.22x
easy,3932160,41,309.909,23.447,13.22x
easy,7864320,43,550.332,46.912,11.73x
easy,15728640,29,1136.623,92.566,12.28x
easy,31457280,23,2328.401,181.447,12.83x
hard,3840,17,1.405,0.101,13.97x
hard,7680,30,2.052,0.116,17.70x
hard,15360,43,5.405,0.154,35.08x
hard,30720,64,6.115,0.231,26.43x
hard,61440,98,15.181,0.453,33.50x
hard,122880,130,12.599,0.984,12.80x
hard,245760,251,25.486,1.556,16.38x
hard,491520,445,41.641,3.018,13.80x
hard,983040,226,70.357,6.154,11.43x
hard,1966080,374,127.179,11.916,10.67x
hard,3932160,551,243.617,23.925,10.18x
hard,7864320,557,462.104,47.848,9.66x
hard,15728640,629,921.161,98.090,9.39x
hard,31457280,838,1788.013,197.429,9.06x
