category,n,d,k,iters,total_time_s,ms_per_iter
easy,3840,512,5,3,0.7876076698303223,1.62817
easy,7680,512,5,13,1.1454322338104248,1.47377
easy,15360,512,5,14,1.8480432033538818,1.3607
easy,30720,512,5,4,3.4796183109283447,2.6163
easy,61440,512,5,3,8.394901514053345,6.04483
easy,122880,512,5,6,18.558872938156128,9.7782
easy,245760,512,5,4,34.018248558044434,19.8632
easy,491520,512,5,3,71.9968626499176,39.1992
easy,983040,512,5,5,154.74859762191772,55.682
hard,3840,512,5,22,0.6198372840881348,1.26552
hard,7680,512,5,8,1.0160772800445557,1.34046
hard,15360,512,5,9,1.9935767650604248,2.54
hard,30720,512,5,14,3.5403900146484375,4.44756
hard,61440,512,5,70,8.852043390274048,6.12933
hard,122880,512,5,13,18.232200622558594,19.1126
hard,245760,512,5,13,34.11361885070801,24.3144
hard,491520,512,5,8,71.24188184738159,48.0614
hard,983040,512,5,13,142.74757647514343,87.8181
