category,n,d,k,iters,total_time_s,ms_per_iter
easy,3840,16,256,5,0.17530012130737305,35.06002426147461
easy,7680,16,256,7,0.03657341003417969,5.224772862025669
easy,15360,16,256,11,0.15470194816589355,14.063813469626686
easy,30720,16,256,18,0.16977643966674805,9.432024425930448
easy,61440,16,256,23,0.21799492835998535,9.478040363477625
easy,122880,16,256,32,0.5177099704742432,16.1784365773201
easy,245760,16,256,29,0.7405104637145996,25.534843576365507
easy,491520,16,256,44,2.389847755432129,54.31472171436657
easy,983040,16,256,47,3.82848858833313,81.45720400708787
easy,1966080,16,256,48,7.09470796585083,147.80641595522562
easy,3932160,16,256,41,12.240822792053223,298.5566534647128
easy,7864320,16,256,43,22.66016149520874,526.9804998885753
easy,15728640,16,256,30,33.400607109069824,1113.3535703023274
easy,31457280,16,256,23,53.27062726020813,2316.114228704701
hard,3840,16,256,17,0.024396419525146484,1.435083501479205
hard,7680,16,256,30,0.1399681568145752,4.665605227152507
hard,15360,16,256,43,0.2078104019165039,4.832800044569858
hard,30720,16,256,64,0.35112833976745605,5.486380308866501
hard,61440,16,256,98,1.059821605682373,10.814506180432378
hard,122880,16,256,130,1.7989230155944824,13.837869350726788
hard,245760,16,256,235,7.938556671142578,33.78109221762799
hard,491520,16,256,231,10.104542970657349,43.74261026258593
hard,983040,16,256,276,26.017371892929077,94.26584019177201
hard,1966080,16,256,336,43.64397573471069,129.89278492473423
hard,3932160,16,256,564,138.5035216808319,245.573620001475
hard,7864320,16,256,640,293.9419116973877,459.2842370271683
hard,15728640,16,256,600,538.0570397377014,896.761732896169
hard,31457280,16,256,504,895.1104593276978,1776.0128161263845
