category,n,iters,ms_per_iter_cpu,ms_per_iter_gpu,speedup
easy,3840,5,35.060,0.326,107.59x
easy,7680,7,5.225,0.222,23.49x
easy,15360,11,14.064,0.253,55.63x
easy,30720,18,9.432,0.350,26.93x
easy,61440,23,9.478,0.535,17.72x
easy,122880,32,16.178,0.977,16.57x
easy,245760,29,25.535,2.739,9.32x
easy,491520,44,54.315,4.898,11.09x
easy,983040,47,81.457,7.527,10.82x
easy,1966080,48,147.806,14.692,10.06x
easy,3932160,41,298.557,26.985,11.06x
easy,7864320,43,526.980,52.293,10.08x
easy,15728640,30,1113.354,103.558,10.75x
easy,31457280,23,2316.114,206.196,11.23x
hard,3840,17,1.435,0.127,11.32x
hard,7680,30,4.666,0.146,31.95x
hard,15360,43,4.833,0.197,24.55x
hard,30720,64,5.486,0.299,18.33x
hard,61440,98,10.815,0.514,21.03x
hard,122880,130,13.838,1.232,11.23x
hard,245760,235,33.781,1.903,17.75x
hard,491520,231,43.743,3.823,11.44x
hard,983040,276,94.266,7.598,12.41x
hard,1966080,336,129.893,14.810,8.77x
hard,3932160,564,245.574,29.456,8.34x
hard,7864320,640,459.284,58.599,7.84x
hard,15728640,600,896.762,119.802,7.49x
hard,31457280,504,1776.013,239.110,7.43x
